"","Species","Class","Order","Suborder","Family","Genus","Accession","Level"
"1384","Granila paseas","Insecta","Lepidoptera","Glossata","Hesperiidae","Granila","GCA_018246935.1","Contig"
"1385","Graphium androcles","Insecta","Lepidoptera","Glossata","Papilionidae","Graphium","GCA_018247855.1","Contig"
"1386","Graphium colonna","Insecta","Lepidoptera","Glossata","Papilionidae","Graphium","GCA_025505425.1","Scaffold"
"1387","Graphium doson","Insecta","Lepidoptera","Glossata","Papilionidae","Graphium","GCA_913698395.1","Contig"
"1388","Graphium evemon","Insecta","Lepidoptera","Glossata","Papilionidae","Graphium","GCA_018252495.1","Contig"
"1389","Graphium sarpedon","Insecta","Lepidoptera","Glossata","Papilionidae","Graphium","GCA_018246115.1","Contig"
"1390","Grapholita molesta","Insecta","Lepidoptera","Glossata","Tortricidae","Grapholita","GCA_022674325.1","Chromosome"
"1391","Griposia aprilina","Insecta","Lepidoptera","Glossata","Noctuidae","Griposia","GCA_916610205.1","Chromosome"
"1392","Gryllus bimaculatus","Insecta","Orthoptera","Ensifera","Gryllidae","Gryllus","GCA_017312745.1","Scaffold"
"1393","Gryon sp. ZL-2020","Insecta","Hymenoptera","Apocrita","Scelionidae","Gryon","GCA_022817425.1","Scaffold"
"1394","Gunayan rhacia","Insecta","Lepidoptera","Glossata","Hesperiidae","Gunayan","GCA_018247355.1","Contig"
"1395","Gunayan rubricollis","Insecta","Lepidoptera","Glossata","Hesperiidae","Gunayan","GCA_018247335.1","Contig"
"1396","Gymnocheta viridis","Insecta","Diptera","Brachycera","Tachinidae","Gymnocheta","GCA_956483585.1","Chromosome"
"1397","Gymnoscelis rufifasciata","Insecta","Lepidoptera","Glossata","Geometridae","Gymnoscelis","GCA_929108375.1","Chromosome"
"1398","Gymnosoma rotundatum","Insecta","Diptera","Brachycera","Tachinidae","Gymnosoma","GCA_916610165.2","Chromosome"
"1399","Gymnusa sp. GC000175","Insecta","Coleoptera","Polyphaga","Staphylinidae","Gymnusa","GCA_030264735.1","Scaffold"
"1400","Habropoda laboriosa","Insecta","Hymenoptera","Apocrita","Apidae","Habropoda","GCF_001263275.1","Scaffold"
"1401","Habrosyne pyritoides","Insecta","Lepidoptera","Glossata","Drepanidae","Habrosyne","GCA_907165245.1","Chromosome"
"1402","Habroteleia sp. ZL-2020","Insecta","Hymenoptera","Apocrita","Scelionidae","Habroteleia","GCA_022817445.1","Scaffold"
"1403","Haemactis sanguinalis","Insecta","Lepidoptera","Glossata","Hesperiidae","Haemactis","GCA_018252135.1","Contig"
"1404","Haematobia irritans","Insecta","Diptera","Brachycera","Muscidae","Haematobia","GCA_003123925.1","Scaffold"
"1405","Halesus radiatus","Insecta","Trichoptera","Integripalpia","Limnephilidae","Halesus","GCA_022606495.1","Scaffold"
"1406","Halictus ligatus","Insecta","Hymenoptera","Apocrita","Halictidae","Halictus","GCA_028454255.1","Chromosome"
"1407","Halictus quadricinctus","Insecta","Hymenoptera","Apocrita","Halictidae","Halictus","GCA_028454245.1","Chromosome"
"1408","Halictus rubicundus","Insecta","Hymenoptera","Apocrita","Halictidae","Halictus","GCA_028454235.1","Chromosome"
"1409","Halyomorpha halys","Insecta","Hemiptera","Heteroptera","Pentatomidae","Halyomorpha","GCA_000696795.3","Scaffold"
"1410","Halyzia sedecimguttata","Insecta","Coleoptera","Polyphaga","Coccinellidae","Halyzia","GCA_937662695.2","Chromosome"
"1411","Harmonia axyridis","Insecta","Coleoptera","Polyphaga","Coccinellidae","Harmonia","GCA_011033045.2","Chromosome"
"1412","Harpagoxenus sublaevis","Insecta","Hymenoptera","Apocrita","Formicidae","Harpagoxenus","GCA_030770355.1","Contig"
"1413","Harpalus rubripes","Insecta","Coleoptera","Adephaga","Carabidae","Harpalus","GCA_963082715.1","Chromosome"
"1414","Harpalus rufipes","Insecta","Coleoptera","Adephaga","Carabidae","Harpalus","GCA_951394225.1","Chromosome"
"1415","Harpegnathos saltator","Insecta","Hymenoptera","Apocrita","Formicidae","Harpegnathos","GCF_003227715.2","Scaffold"
"1416","Hartigia nigra","Insecta","Hymenoptera",NA,"Cephidae","Hartigia","GCA_031001745.1","Scaffold"
"1417","Hasora badra","Insecta","Lepidoptera","Glossata","Hesperiidae","Hasora","GCA_018245195.1","Contig"
"1418","Hasora chromus","Insecta","Lepidoptera","Glossata","Hesperiidae","Hasora","GCA_018247075.1","Contig"
"1419","Hebomoia glaucippe","Insecta","Lepidoptera","Glossata","Pieridae","Hebomoia","GCA_025727935.1","Scaffold"
"1420","Hecatera dysodea","Insecta","Lepidoptera","Glossata","Noctuidae","Hecatera","GCA_905332915.1","Chromosome"
"1421","Hedya salicella","Insecta","Lepidoptera","Glossata","Tortricidae","Hedya","GCA_905404275.2","Chromosome"
"1422","Helias cama","Insecta","Lepidoptera","Glossata","Hesperiidae","Helias","GCA_018250775.1","Contig"
"1423","Heliconius aoede","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_018238045.1","Contig"
"1424","Heliconius atthis","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_018246395.1","Contig"
"1425","Heliconius besckei","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_018249835.1","Contig"
"1426","Heliconius burneyi","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_018247715.1","Contig"
"1427","Heliconius charithonia","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_030704555.1","Chromosome"
"1428","Heliconius clysonymus","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_018231685.1","Contig"
"1429","Heliconius congener","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_018230605.1","Contig"
"1430","Heliconius cydno","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_900068255.1","Scaffold"
"1431","Heliconius eleuchia","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_018230625.1","Contig"
"1432","Heliconius elevatus","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_900067985.1","Scaffold"
"1433","Heliconius erato","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_018249695.1","Contig"
"1434","Heliconius erato x Heliconius himera","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_013421005.1","Scaffold"
"1435","Heliconius ethilla","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_001485905.1","Scaffold"
"1436","Heliconius hecale","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_900068425.1","Scaffold"
"1437","Heliconius hecalesia","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_018249775.1","Contig"
"1438","Heliconius hecuba","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_900068455.1","Scaffold"
"1439","Heliconius hermathena","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_018230385.1","Contig"
"1440","Heliconius heurippa","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_900068465.1","Scaffold"
"1441","Heliconius hewitsoni","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_018230445.1","Contig"
"1442","Heliconius hierax","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_900068475.1","Scaffold"
"1443","Heliconius himera","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_018247665.1","Contig"
"1444","Heliconius hortense","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_018230405.1","Contig"
"1445","Heliconius ismenius","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_001485725.1","Scaffold"
"1446","Heliconius melpomene","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_000326025.1","Contig"
"1447","Heliconius nattereri","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_013403645.1","Scaffold"
"1448","Heliconius numata","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_016802665.1","Scaffold"
"1449","Heliconius pachinus","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_900068735.1","Scaffold"
"1450","Heliconius pardalinus","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_900068745.1","Scaffold"
"1451","Heliconius ricini","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_018231645.1","Contig"
"1452","Heliconius sapho","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_018237945.1","Contig"
"1453","Heliconius sara","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_917862395.1","Chromosome"
"1454","Heliconius telesiphe","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_018249795.1","Contig"
"1455","Heliconius timareta","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_001486425.1","Scaffold"
"1456","Heliconius wallacei","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_900068815.1","Scaffold"
"1457","Heliconius xanthocles","Insecta","Lepidoptera","Glossata","Nymphalidae","Heliconius","GCA_900068825.1","Scaffold"
"1458","Helicoverpa armigera","Insecta","Lepidoptera","Glossata","Noctuidae","Helicoverpa","GCA_030705265.1","Complete Genome"
"1459","Helicoverpa assulta","Insecta","Lepidoptera","Glossata","Noctuidae","Helicoverpa","GCA_029618815.1","Chromosome"
"1460","Helicoverpa zea","Insecta","Lepidoptera","Glossata","Noctuidae","Helicoverpa","GCA_022343045.1","Chromosome"
"1461","Helicoverpa zea X Helicoverpa armigera","Insecta","Lepidoptera","Glossata","Noctuidae","Helicoverpa","GCA_033682625.1","Scaffold"
"1462","Helictopleurus sicardi","Insecta","Coleoptera","Polyphaga","Scarabaeidae","Helictopleurus","GCA_033557245.1","Contig"
"1463","Heliopetes ericetorum","Insecta","Lepidoptera","Glossata","Hesperiidae","Heliopetes","GCA_018248575.1","Contig"
"1464","Heliopetes sublinea","Insecta","Lepidoptera","Glossata","Hesperiidae","Heliopetes","GCA_018248555.1","Contig"
"1465","Heliothis peltigera","Insecta","Lepidoptera","Glossata","Noctuidae","Heliothis","GCA_958496145.1","Chromosome"
"1466","Heliothis subflexa","Insecta","Lepidoptera","Glossata","Noctuidae","Heliothis","GCA_022398575.1","Scaffold"
"1467","Heliothis virescens","Insecta","Lepidoptera","Glossata","Noctuidae","Heliothis","GCA_002382865.1","Scaffold"
"1468","Helleia helle","Insecta","Lepidoptera","Glossata","Lycaenidae","Helleia","GCA_963853865.1","Complete Genome"
"1469","Helochares maculicollis","Insecta","Coleoptera","Polyphaga","Hydrophilidae","Helochares","GCA_033557835.1","Contig"
"1470","Hemaris fuciformis","Insecta","Lepidoptera","Glossata","Sphingidae","Hemaris","GCA_907164795.1","Chromosome"
"1471","Hemicrepidius niger","Insecta","Coleoptera","Polyphaga","Elateridae","Hemicrepidius","GCA_963082805.1","Chromosome"
"1472","Hemistola chrysoprasaria","Insecta","Lepidoptera","Glossata","Geometridae","Hemistola","GCA_947063395.1","Chromosome"
"1473","Hemithea aestivaria","Insecta","Lepidoptera","Glossata","Geometridae","Hemithea","GCA_947507615.1","Chromosome"
"1474","Henosepilachna vigintioctopunctata","Insecta","Coleoptera","Polyphaga","Coccinellidae","Henosepilachna","GCA_030704895.1","Contig"
"1475","Heortia vitessoides","Insecta","Lepidoptera","Glossata","Crambidae","Heortia","GCA_020976665.1","Scaffold"
"1476","Heptascelio sp. ZL-2020","Insecta","Hymenoptera","Apocrita","Scelionidae","Heptascelio","GCA_022817405.1","Scaffold"
"1477","Hermaeophaga mercurialis","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Hermaeophaga","GCA_951812935.1","Chromosome"
"1478","Hermatobates lingyangjiaoensis","Insecta","Hemiptera","Heteroptera","Hermatobatidae","Hermatobates","GCA_026182355.1","Contig"
"1479","Hermetia illucens","Insecta","Diptera","Brachycera","Stratiomyidae","Hermetia","GCF_905115235.1","Chromosome"
"1480","Herminia tarsipennalis","Insecta","Lepidoptera","Glossata","Erebidae","Herminia","GCA_945859575.1","Chromosome"
"1481","Hesperia comma","Insecta","Lepidoptera","Glossata","Hesperiidae","Hesperia","GCA_905404135.1","Chromosome"
"1482","Hesperia meskei","Insecta","Lepidoptera","Glossata","Hesperiidae","Hesperia","GCA_018248915.1","Contig"
"1483","Hesperophylax magnus","Insecta","Trichoptera","Integripalpia","Limnephilidae","Hesperophylax","GCA_026573805.1","Contig"
"1484","Hesperopsis alpheus","Insecta","Lepidoptera","Glossata","Hesperiidae","Hesperopsis","GCA_018248335.1","Contig"
"1485","Hestina assimilis","Insecta","Lepidoptera","Glossata","Nymphalidae","Hestina","GCA_023373885.1","Chromosome"
"1486","Hetaerina americana","Insecta","Odonata","Zygoptera","Calopterygidae","Hetaerina","GCA_022747625.1","Scaffold"
"1487","Heteromyza rotundicornis","Insecta","Diptera","Brachycera","Heleomyzidae","Heteromyza","GCA_951394025.1","Chromosome"
"1488","Heteropelma amictum","Insecta","Hymenoptera","Apocrita","Ichneumonidae","Heteropelma","GCA_959613375.1","Chromosome"
"1489","Heterotrigona itama","Insecta","Hymenoptera","Apocrita","Apidae","Heterotrigona","GCA_903986555.1","Scaffold"
"1490","Hewitsoniella migonitis","Insecta","Lepidoptera","Glossata","Hesperiidae","Hewitsoniella","GCA_018247535.1","Contig"
"1491","Himalopsyche anomala","Insecta","Trichoptera","Integripalpia","Rhyacophilidae","Himalopsyche","GCA_031772345.1","Chromosome"
"1492","Himalopsyche japonica","Insecta","Trichoptera","Integripalpia","Rhyacophilidae","Himalopsyche","GCA_028555115.1","Scaffold"
"1493","Himalopsyche kuldschensis","Insecta","Trichoptera","Integripalpia","Rhyacophilidae","Himalopsyche","GCA_028554975.1","Contig"
"1494","Himalopsyche phryganea","Insecta","Trichoptera","Integripalpia","Rhyacophilidae","Himalopsyche","GCA_022494535.1","Contig"
"1495","Himalopsyche tibetana","Insecta","Trichoptera","Integripalpia","Rhyacophilidae","Himalopsyche","GCA_030503985.1","Contig"
"1496","Hipparchia semele","Insecta","Lepidoptera","Glossata","Nymphalidae","Hipparchia","GCA_933228805.2","Chromosome"
"1497","Hirtodrosophila alboralis","Insecta","Diptera","Brachycera","Drosophilidae","Hirtodrosophila","GCA_035043045.1","Contig"
"1498","Hirtodrosophila cameraria","Insecta","Diptera","Brachycera","Drosophilidae","Hirtodrosophila","GCA_949708635.1","Chromosome"
"1499","Hirtodrosophila confusa","Insecta","Diptera","Brachycera","Drosophilidae","Hirtodrosophila","GCA_035043065.1","Contig"
"1500","Hirtodrosophila nokogiri","Insecta","Diptera","Brachycera","Drosophilidae","Hirtodrosophila","GCA_035078685.1","Scaffold"
"1501","Hirtodrosophila trivittata","Insecta","Diptera","Brachycera","Drosophilidae","Hirtodrosophila","GCA_035045065.1","Contig"
"1502","Hofmannophila pseudospretella","Insecta","Lepidoptera","Glossata","Oecophoridae","Hofmannophila","GCA_947369225.1","Chromosome"
"1503","Holcocephala fusca","Insecta","Diptera","Brachycera","Asilidae","Holcocephala","GCA_001015215.1","Scaffold"
"1504","Holcopasites calliopsidis","Insecta","Hymenoptera","Apocrita","Apidae","Holcopasites","GCA_023838395.1","Contig"
"1505","Holobus sp. GC000080","Insecta","Coleoptera","Polyphaga","Staphylinidae","Holobus","GCA_030556065.1","Scaffold"
"1506","Hololepta plana","Insecta","Coleoptera","Polyphaga","Histeridae","Hololepta","GCA_963695495.1","Chromosome"
"1507","Holotrichia oblita","Insecta","Coleoptera","Polyphaga","Scarabaeidae","Holotrichia","GCA_023690525.1","Chromosome"
"1508","Homalodisca vitripennis","Insecta","Hemiptera","Auchenorrhyncha","Cicadellidae","Homalodisca","GCF_021130785.1","Chromosome"
"1509","Hoplodrina ambigua","Insecta","Lepidoptera","Glossata","Noctuidae","Hoplodrina","GCA_949774945.1","Chromosome"
"1510","Hoplodrina blanda","Insecta","Lepidoptera","Glossata","Noctuidae","Hoplodrina","GCA_949316365.1","Chromosome"
"1511","Horisme vitalbata","Insecta","Lepidoptera","Glossata","Geometridae","Horisme","GCA_951804965.1","Chromosome"
"1512","Hormaphis cornu","Insecta","Hemiptera","Sternorrhyncha","Hormaphididae","Hormaphis","GCA_017140985.1","Chromosome"
"1513","Hovala pardalina","Insecta","Lepidoptera","Glossata","Hesperiidae","Hovala","GCA_018248535.1","Contig"
"1514","Hyalothyrus neleus","Insecta","Lepidoptera","Glossata","Hesperiidae","Hyalothyrus","GCA_018250315.1","Contig"
"1515","Hycleus cichorii","Insecta","Coleoptera","Polyphaga","Meloidae","Hycleus","GCA_013841215.1","Scaffold"
"1516","Hycleus phaleratus","Insecta","Coleoptera","Polyphaga","Meloidae","Hycleus","GCA_013841185.1","Scaffold"
"1517","Hydraecia micacea","Insecta","Lepidoptera","Glossata","Noctuidae","Hydraecia","GCA_914767645.1","Chromosome"
"1518","Hydriomena furcata","Insecta","Lepidoptera","Glossata","Geometridae","Hydriomena","GCA_912999785.1","Chromosome"
"1519","Hydrochus callosus","Insecta","Coleoptera","Polyphaga","Hydrochidae","Hydrochus","GCA_033557855.1","Contig"
"1520","Hydropsyche betteni","Insecta","Trichoptera","Annulipalpia","Hydropsychidae","Hydropsyche","GCA_028571205.1","Scaffold"
"1521","Hydropsyche tenuis","Insecta","Trichoptera","Annulipalpia","Hydropsychidae","Hydropsyche","GCA_009617725.1","Contig"
"1522","Hydrotaea cyrtoneurina","Insecta","Diptera","Brachycera","Muscidae","Hydrotaea","GCA_958296145.1","Chromosome"
"1523","Hydrotaea diabolus","Insecta","Diptera","Brachycera","Muscidae","Hydrotaea","GCA_963513945.1","Chromosome"
"1524","Hylaea fasciaria","Insecta","Lepidoptera","Glossata","Geometridae","Hylaea","GCA_905147375.1","Chromosome"
"1525","Hylaeus anthracinus","Insecta","Hymenoptera","Apocrita","Colletidae","Hylaeus","GCF_026225885.1","Scaffold"
"1526","Hylaeus volcanicus","Insecta","Hymenoptera","Apocrita","Colletidae","Hylaeus","GCF_026283585.1","Chromosome"
"1527","Hyles euphorbiae","Insecta","Lepidoptera","Glossata","Sphingidae","Hyles","GCA_023078785.2","Chromosome"
"1528","Hyles lineata","Insecta","Lepidoptera","Glossata","Sphingidae","Hyles","GCA_030180105.1","Contig"
"1529","Hyles vespertilio","Insecta","Lepidoptera","Glossata","Sphingidae","Hyles","GCA_009982885.2","Chromosome"
"1530","Hymenopus coronatus","Insecta","Mantodea","Eumantodea","Hymenopodidae","Hymenopus","GCA_030762935.1","Chromosome"
"1531","Hypena proboscidalis","Insecta","Lepidoptera","Glossata","Erebidae","Hypena","GCA_905147285.1","Chromosome"
"1532","Hypercompe scribonia","Insecta","Lepidoptera","Glossata","Erebidae","Hypercompe","GCA_949316085.1","Chromosome"
"1533","Hypermnestra helios","Insecta","Lepidoptera","Glossata","Papilionidae","Hypermnestra","GCA_018247875.1","Contig"
"1534","Hyphantria cunea","Insecta","Lepidoptera","Glossata","Erebidae","Hyphantria","GCA_003709505.1","Scaffold"
"1535","Hypogeococcus pungens","Insecta","Hemiptera","Sternorrhyncha","Pseudococcidae","Hypogeococcus","GCA_018107765.1","Scaffold"
"1536","Hypolimnas misippus","Insecta","Lepidoptera","Glossata","Nymphalidae","Hypolimnas","GCA_008963455.1","Scaffold"
"1537","Hypomecis punctinalis","Insecta","Lepidoptera","Glossata","Geometridae","Hypomecis","GCA_949316475.1","Chromosome"
"1538","Hypophylla argenissa","Insecta","Lepidoptera","Glossata","Riodinidae","Hypophylla","GCA_018237165.1","Contig"
"1539","Hyposmocoma kahamanoa","Insecta","Lepidoptera","Glossata","Cosmopterigidae","Hyposmocoma","GCF_003589595.1","Scaffold"
"1540","Hypothenemus hampei","Insecta","Coleoptera","Polyphaga","Curculionidae","Hypothenemus","GCA_013372445.1","Scaffold"
"1541","Hyppa rectilinea","Insecta","Lepidoptera","Glossata","Noctuidae","Hyppa","GCA_951799385.1","Chromosome"
"1542","Hypselothyrea guttata","Insecta","Diptera","Brachycera","Drosophilidae","Hypselothyrea","GCA_035045125.1","Contig"
"1543","Hypsopygia costalis","Insecta","Lepidoptera","Glossata","Pyralidae","Hypsopygia","GCA_937001555.1","Chromosome"
"1544","Icerya purchasi","Insecta","Hemiptera","Sternorrhyncha","Monophlebidae","Icerya","GCA_952773005.1","Chromosome"
"1545","Ichneumon xanthorius","Insecta","Hymenoptera","Apocrita","Ichneumonidae","Ichneumon","GCA_917499995.1","Chromosome"
"1546","Ichneumoninae sp. A BG-2022a","Insecta","Hymenoptera","Apocrita","Ichneumonidae",NA,"GCA_030522665.1","Scaffold"
"1547","Ichneumoninae sp. B BG-2022a","Insecta","Hymenoptera","Apocrita","Ichneumonidae",NA,"GCA_030522725.1","Scaffold"
"1548","Idaea aversata","Insecta","Lepidoptera","Glossata","Geometridae","Idaea","GCA_907269075.1","Chromosome"
"1549","Idaea biselata","Insecta","Lepidoptera","Glossata","Geometridae","Idaea","GCA_958496205.1","Chromosome"
"1550","Idaea dimidiata","Insecta","Lepidoptera","Glossata","Geometridae","Idaea","GCA_949358125.1","Chromosome"
"1551","Idaea straminata","Insecta","Lepidoptera","Glossata","Geometridae","Idaea","GCA_951213275.1","Chromosome"
"1552","Idris sp. 1 HC-2018","Insecta","Hymenoptera","Apocrita","Scelionidae","Idris","GCA_022817325.1","Scaffold"
"1553","Ignelater luminosus","Insecta","Coleoptera","Polyphaga","Elateridae","Ignelater","GCA_011009095.1","Scaffold"
"1554","Incurvaria masculella","Insecta","Lepidoptera","Glossata","Incurvariidae","Incurvaria","GCA_946894095.1","Chromosome"
"1555","Iphiclides podalirius","Insecta","Lepidoptera","Glossata","Papilionidae","Iphiclides","GCA_933534255.1","Chromosome"
"1556","Ips nitidus","Insecta","Coleoptera","Polyphaga","Curculionidae","Ips","GCA_018691245.2","Chromosome"
"1557","Ips typographus","Insecta","Coleoptera","Polyphaga","Curculionidae","Ips","GCA_016097725.1","Contig"
"1558","Ischnura elegans","Insecta","Odonata","Zygoptera","Coenagrionidae","Ischnura","GCA_921293095.2","Chromosome"
"1559","Ischnus inquisitorius","Insecta","Hymenoptera","Apocrita","Ichneumonidae","Ischnus","GCA_963924025.1","Chromosome"
"1560","Isoperla grammatica","Insecta","Plecoptera",NA,"Perlodidae","Isoperla","GCA_945910005.1","Chromosome"
"1561","Ithomia salapia","Insecta","Lepidoptera","Glossata","Nymphalidae","Ithomia","GCA_028829205.1","Scaffold"
"1562","Jalmenus evagoras","Insecta","Lepidoptera","Glossata","Lycaenidae","Jalmenus","GCA_018252415.1","Contig"
"1563","Jemadia hospita","Insecta","Lepidoptera","Glossata","Hesperiidae","Jemadia","GCA_018246635.1","Contig"
"1564","Jemadia pseudognetus","Insecta","Lepidoptera","Glossata","Hesperiidae","Jemadia","GCA_018244755.1","Contig"
"1565","Jemadia scomber","Insecta","Lepidoptera","Glossata","Hesperiidae","Jemadia","GCA_018246675.1","Contig"
"1566","Jemadia suekentonmiller","Insecta","Lepidoptera","Glossata","Hesperiidae","Jemadia","GCA_018245575.1","Contig"
"1567","Jera tricuspidata","Insecta","Lepidoptera","Glossata","Hesperiidae","Jera","GCA_018251235.1","Contig"
"1568","Jonaspyge jonas","Insecta","Lepidoptera","Glossata","Hesperiidae","Jonaspyge","GCA_018245895.1","Contig"
"1569","Jonaspyge tzotzili","Insecta","Lepidoptera","Glossata","Hesperiidae","Jonaspyge","GCA_018246755.1","Contig"
"1570","Junonia coenia","Insecta","Lepidoptera","Glossata","Nymphalidae","Junonia","GCA_018235425.1","Contig"
"1571","Junonia evarete","Insecta","Lepidoptera","Glossata","Nymphalidae","Junonia","GCA_018233925.1","Contig"
"1572","Junonia genoveva","Insecta","Lepidoptera","Glossata","Nymphalidae","Junonia","GCA_018232405.1","Contig"
"1573","Junonia grisea","Insecta","Lepidoptera","Glossata","Nymphalidae","Junonia","GCA_018235505.1","Contig"
"1574","Junonia iphita","Insecta","Lepidoptera","Glossata","Nymphalidae","Junonia","GCA_022323205.1","Contig"
"1575","Junonia litoralis","Insecta","Lepidoptera","Glossata","Nymphalidae","Junonia","GCA_018234925.1","Contig"
"1576","Junonia neildi","Insecta","Lepidoptera","Glossata","Nymphalidae","Junonia","GCA_018234965.1","Contig"
"1577","Junonia nigrosuffusa","Insecta","Lepidoptera","Glossata","Nymphalidae","Junonia","GCA_018232805.1","Contig"
"1578","Junonia oenone","Insecta","Lepidoptera","Glossata","Nymphalidae","Junonia","GCA_018230425.1","Contig"
"1579","Junonia pacoma","Insecta","Lepidoptera","Glossata","Nymphalidae","Junonia","GCA_018232645.1","Contig"
"1580","Junonia stemosa","Insecta","Lepidoptera","Glossata","Nymphalidae","Junonia","GCA_018233305.1","Contig"
"1581","Junonia vestina","Insecta","Lepidoptera","Glossata","Nymphalidae","Junonia","GCA_018234345.1","Contig"
"1582","Junonia villida","Insecta","Lepidoptera","Glossata","Nymphalidae","Junonia","GCA_018232265.1","Contig"
"1583","Junonia zonalis","Insecta","Lepidoptera","Glossata","Nymphalidae","Junonia","GCA_018233685.1","Contig"
"1584","Katreus johnstonii","Insecta","Lepidoptera","Glossata","Hesperiidae","Katreus","GCA_018245315.1","Contig"
"1585","Keiferia lycopersicella","Insecta","Lepidoptera","Glossata","Gelechiidae","Keiferia","GCA_029255805.1","Contig"
"1586","Kradibia gibbosae","Insecta","Hymenoptera","Apocrita","Agaonidae","Kradibia","GCA_018907135.1","Scaffold"
"1587","Kuschelorhynchus macadamiae","Insecta","Coleoptera","Polyphaga","Curculionidae","Kuschelorhynchus","GCA_030620095.1","Contig"
"1588","Labia minor","Insecta","Dermaptera","Neodermaptera","Spongiphoridae","Labia","GCA_963082975.1","Chromosome"
"1589","Labidoglobus nevermanni","Insecta","Coleoptera","Polyphaga","Staphylinidae","Labidoglobus","GCA_025447835.1","Scaffold"
"1590","Labidopullus appendiculatus","Insecta","Coleoptera","Polyphaga","Staphylinidae","Labidopullus","GCA_913698135.1","Contig"
"1591","Lacanobia oleracea","Insecta","Lepidoptera","Glossata","Noctuidae","Lacanobia","GCA_950371165.1","Chromosome"
"1592","Lacanobia wlatinum","Insecta","Lepidoptera","Glossata","Noctuidae","Lacanobia","GCA_947578705.1","Chromosome"
"1593","Ladona fulva","Insecta","Odonata","Epiprocta","Libellulidae","Ladona","GCA_000376725.1","Scaffold"
"1594","Lagria hirta","Insecta","Coleoptera","Polyphaga","Tenebrionidae","Lagria","GCA_947359425.1","Chromosome"
"1595","Lamprigera yunnana","Insecta","Coleoptera","Polyphaga","Lampyridae","Lamprigera","GCA_013368075.1","Contig"
"1596","Lamproptera curius","Insecta","Lepidoptera","Glossata","Papilionidae","Lamproptera","GCA_029286875.1","Contig"
"1597","Lamproptera meges","Insecta","Lepidoptera","Glossata","Papilionidae","Lamproptera","GCA_018246075.1","Contig"
"1598","Lampropteryx suffumata","Insecta","Lepidoptera","Glossata","Geometridae","Lampropteryx","GCA_948098915.1","Chromosome"
"1599","Laodelphax striatellus","Insecta","Hemiptera","Auchenorrhyncha","Delphacidae","Laodelphax","GCA_014465815.1","Chromosome"
"1600","Laothoe populi","Insecta","Lepidoptera","Glossata","Sphingidae","Laothoe","GCA_905220505.1","Chromosome"
"1601","Lapara coniferarum","Insecta","Lepidoptera","Glossata","Sphingidae","Lapara","GCA_949316025.1","Chromosome"
"1602","Laparus doris","Insecta","Lepidoptera","Glossata","Nymphalidae","Laparus","GCA_018249755.1","Contig"
"1603","Lasaia sula","Insecta","Lepidoptera","Glossata","Riodinidae","Lasaia","GCA_018236625.1","Contig"
"1604","Lasioglossum albipes","Insecta","Hymenoptera","Apocrita","Halictidae","Lasioglossum","GCA_000346575.1","Scaffold"
